"6.35","",""
"32","8","Globe","32 mm","1-1/4""","Globe Valve","7.5"
"40","8","Globe","40 mm","1-1/2""","Globe Valve","7.1"
"50","8","Globe","50 mm","2""","Globe Valve","6.5"
"65","8","Globe","65 mm","2-1/2""","Globe Valve","6.1"
"80","8","Globe","80 mm","3""","Globe Valve","6"
"90","8","Globe","90 mm","3-1/2""","Globe Valve","5.9"
"100","8","Globe","100 mm","4""","Globe Valve","5.8"
"125","8","Globe","125 mm","5""","Globe Valve","5.5"
"150","8","Globe","150 mm","6""","Globe Valve","5.1"
"200","8","Globe","200 mm","8""","Globe Valve","4.8"
"250","8","Globe","250 mm","10""","Globe Valve","4.8"
"300","8","Globe","300 mm","12""","Globe Valve","4.4"
"350","8","Globe","350 mm","14""","Globe Valve","4.4"
"380","8","Globe","380 mm","15""","Globe Valve","4.4"
"400","8","Globe","400 mm","16""","Globe Valve","4.4"
"450","8","Globe","450 mm","18""","Globe Valve","4.1"
"500","8","Globe","500 mm","20""","Globe Valve","4.1"
"550","8","Globe","550 mm","22""","Globe Valve","4.1"
"600","8","Globe","600 mm","24""","Globe Valve","4.1"
"650","8","Globe","650 mm","26""","Globe Valve","4.1"
"700","8","Globe","700 mm","28""","Globe Valve","4.1"
"750","8","Globe","750 mm","30""","Globe Valve","4.1"
"800","8","Globe","800 mm","32""","Globe Valve","4.1"
"850","8","Globe","850 mm","34""","Globe Valve","4.1"
"900","8","Globe","900 mm","36""","Globe Valve","4.1"
"950","8","Globe","950 mm","38""","Globe Valve","4.1"
"1000","8","Globe","1000 mm","40""","Globe Valve","4.1"
"1050","8","Globe","1050 mm","42""","Globe Valve","4.1"
"1200","8","Globe","1200 mm","48""","Globe Valve","4.1"
"1400","8","Globe","1400 mm","54""","Globe Valve","4.1"
"1500","8","Globe","1500 mm","60""","Globe Valve","4.1"
"1800","8","Globe","1800 mm","72""","Globe Valve","4.1"
"2100","8","Globe","2100 mm","84""","Globe Valve","4.1"
"6","9","Angle","6 mm","1/8""","Globe Valve Angled","5"
"7","9","Angle","7 mm","3/16""","Globe Valve Angled","4.9"
"8","9","Angle","8 mm","1/4""","Globe Valve Angled","4.8"
"9","9","Angle","9 mm","5/16""","Globe Valve Angled","4.8"
"10","9","Angle","10 mm","3/8""","Globe Valve Angled","4.4"
"12","9","Angle","12 mm","7/16""","Globe Valve Angled","4.2"
"15","9","Angle","15 mm","1/2""","Globe Valve Angled","4.05"
"18","9","Angle","18 mm","5/8""","Globe Valve Angled","4.05"
"20","9","Angle","20 mm","3/4""","Globe Valve Angled","3.75"
"22","9","Angle","22 mm","7/8""","Globe Valve Angled","3.65"
"25","9","Angle","25 mm","1""","Globe Valve Angled","3.45"
"32","9","Angle","32 mm","1-1/4""","Globe Valve Angled","3.3"
"40","9","Angle","40 mm","1-1/2""","Globe Valve Angled","3.15"
"50","9","Angle","50 mm","2""","Globe Valve Angled","2.85"
"65","9","Angle","65 mm","2-1/2""","Globe Valve Angled","2.7"
"80","9","Angle","80 mm","3""","Globe Valve Angled","2.65"
"90","9","Angle","90 mm","3-1/2""","Globe Valve Angled","2.6"
"100","9","Angle","100 mm","4""","Globe Valve Angled","2.55"
"125","9","Angle","125 mm","5""","Globe Valve Angled","2.4"
"150","9","Angle","150 mm","6""","Globe Valve Angled","2.25"
"200","9","Angle","200 mm","8""","Globe Valve Angled","2.1"
"250","9","Angle","250 mm","10""","Globe Valve Angled","2.1"
"300","9","Angle","300 mm","12""","Globe Valve Angled","1.95"
"350","9","Angle","350 mm","14""","Globe Valve Angled","1.95"
"380","9","Angle","380 mm","15""","Globe Valve Angled","1.95"
"400","9","Angle","400 mm","16""","Globe Valve Angled","1.95"
"450","9","Angle","450 mm","18""","Globe Valve Angled","1.8"
"500","9","Angle","500 mm","20""","Globe Valve Angled","1.8"
"550","9","Angle","550 mm","22""","Globe Valve Angled","1.8"
"600","9","Angle","600 mm","24""","Globe Valve Angled","1.8"
"650","9","Angle","650 mm","26""","Globe Valve Angled","1.8"
"700","9","Angle","700 mm","28""","Globe Valve Angled","1.8"
"750","9","Angle","750 mm","30""","Globe Valve Angled","1.8"
"800","9","Angle","800 mm","32""","Globe Valve Angled","1.8"
"850","9","Angle","850 mm","34""","Globe Valve Angled","1.8"
"900","9","Angle","900 mm","36""","Globe Valve Angled","1.8"
"950","9","Angle","950 mm","38""","Globe Valve Angled","1.8"
"1000","9","Angle","1000 mm","40""","Globe Valve Angled","1.8"
"1050","9","Angle","1050 mm","42""","Globe Valve Angled","1.8"
"1200","9","Angle","1200 mm","48""","Globe Valve Angled","1.8"
"1400","9","Angle","1400 mm","54""","Globe Valve Angled","1.8"
"1500","9","Angle","1500 mm","60""","Globe Valve Angled","1.8"
"1800","9","Angle","1800 mm","72""","Globe Valve Angled","1.8"
"2100","9","Angle","2100 mm","84""","Globe Valve Angled","1.8"
"6","10","Plug","6 mm","1/8""","Plug Valve Straightway","0.64"
